Team,Region,Future use,Requieres realease?,Future containment,"In case of release, would the organism or parts spread autonomously?",Containment measures,Answer on question 16,Project goal
UMaryland,North America,"In a factory,Agriculture,Small enclosed device,Natural environment,Biosensor",No,Partially Contained,Yes-possible,Physical containment,"No, if our project were fully developed, the chance of the engineered organisms spreading autonomously in the environment is possible but low. Our project design includes multiple safeguards to limit the possibility of escape. For example, we will encapsulate the engineered E. coli into xerogel silica beads to prevent direct interaction with the environment. We also intend on only employing our phosphorus sequestration systems in a bioreactor system that will only remediate polluted water in batches. In addition, we will also try to incorporate a kill switch in our system that activates lysis when exposed to outside lab/bioreactor conditions.",develop a two-part phosphorus recycling system that utilizes a polyphosphate biosensor and engineered E. coli as a phosphorus sequestration system.
UPenn,North America,Other,No,NEI,NEI,None,The plasmids that were used to transform these organisms do not provide any characteristic that would make them more prone to survive in the environment aside from ampicillin resistance which is not commonly present in the environment,optogenetic stimulation of light controllable proteins while simultaneously sampling fluorescence intensities and optical densities in a 96 well format.
USAFA,North America,"Agriculture,Small enclosed device,Natural environment,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"No, we are working on purifying the enzymes and applying them in a cell-free system, autonomous spread in the environment would be negligible. By working in a cell-free system we hope to minimize any risk of unintentional environmental spread. The engineered organisms that express the enzymes are using a plasmid to express the genes and maintenance of that plasmid is dependent on antibiotic treatment. The engineered organisms are kept under careful control, but if accidental release were to occur, the recombinant E. coli wouldn't survive and the absence of antibiotic selective pressure would result in the loss of the plasmid. We  hope to create a   mechanism for PFOA and PFOS degradation so  that the technology can be  safely implemented into a   bioreactor such as  water treatment plants. In  all cases, significant safety concerns would be  addressed and controlled for.",screen soil samples for bacteria that can survive in PFAS and potentially degrade the PFAS due to existing degradation pathways.
Virginia,North America,"In a factory,Foundational",No,Fully Contained,NEI,None,"There are no plasmid retention mechanisms in place aside from antibiotic resistance. Furthermore, none of the plasmids are expected to confer any form of selective advantage. As such, it is expected that subsequent generations would start to loose the plasmids containing our parts. For this reason, any release should be no more hazardous than the release of standard 10-Beta E. coli which, as previously stated, does not pose any significant environmental risks. ",BMC production
Washington,North America,Natural environment,Yes,Open release ,No-contained,Killswitch,Some biocontainment strategies we have in mind include programming a kill switch in the operon pathway of interest as well as inoculating the E.coli into the root nodules of a plant as a form of rhizoremediation. ,Remediation of heavy metals
Waterloo,North America,"Only lab,Small enclosed device,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"This project does not involve the use of whole cells, so the risk of autonomous spreading is greatly reduced. The proteins used in the microfluidic assay are physically contained within the microfluidic assay itself. Regarding the disposal of these microfluidic assays, heat or pH inactivation during disposal would be an easily applied strategy to disrupt the function of the proteins to stifle functionality should the proteins be accidentally released to the environment.",design a microfluidic assay
William_and_Mary,North America,"Only lab,Small enclosed device",No,NEI,Yes-possible,None,"Our sensor circuits could potentially spread autonomously in the environment due to the incorporation of a chloramphenicol resistance gene in the pSB1C3 backbone used to construct our plasmids. However, as our circuit testing system is not designed to be used in field applications, our team assumes that other teams will follow all required BSL1 safety procedures to prevent our circuit system from spreading. If these procedures are followed, there is little chance of it spreading autonomously in the environment.

In addition, no infectious organism ever leaves the laboratory environment unless it has been autoclaved using a certified autoclave or disinfected with 10% bleach for at least one hour.",toolkit for synthetic biologists to assess the orthogonality of their circuits with host physiology
WLC-Milwaukee,North America,Consumer product,No,NEI,NEI,None,The risk of autonomous spreading is very low with our project. ,express the lac operon on a plasmid to create a hands-on kit to teach the concept of gene regulation
WrightState,North America,"Agriculture,Other,Cell-Free",Yes,Fully Contained,No-no-organisms,None,None of the engineered parts could spread throughout the environment because we would use a cell free system,alpha-terpineol using a two plasmid system.
WVHS_SanDiego_CA,North America,"Foundational,Digital or non-biological products ,Agriculture,Field Use",Yes,Open release ,NEI,None,The E. coli would be controlled because it is only acting as a device to insert the plasmids. It does not actually go into the plant and produce toxins. ,"Make  jasmine or liquidambar, more tolerant to higher salt conditions, using HKT1 pathway proteins"
